Epoch,Train Loss,Train Accuracy,Validation Loss,Validation Accuracy
1,23.502569,47.0011,,
2,6.736118,13.4578,,
3,1.984734,3.9506,,
4,1.009370,1.9969,,
5,0.796388,1.5689,,
6,0.705236,1.3850,,
7,0.576385,1.1272,,
8,0.499410,0.9728,,
9,0.469591,0.9131,,
10,0.458325,0.8907,,
11,0.467445,0.9091,,
12,0.462581,0.8993,,
13,0.459819,0.8936,,
14,0.453236,0.8801,,
15,0.441649,0.8573,,
16,0.420908,0.8161,,
17,0.421967,0.8185,,
18,0.420488,0.8161,,
19,0.457191,0.8894,,
20,0.449451,0.8740,,
21,0.476760,0.9291,,
22,0.422361,0.8206,,
23,0.414688,0.8052,,
24,0.430412,0.8368,,
25,0.419634,0.8150,,
26,0.416881,0.8091,,
27,0.416546,0.8084,,
28,0.441621,0.8585,,
29,0.439159,0.8537,,
30,0.418701,0.8130,,
31,0.424370,0.8243,,
32,0.398416,0.7727,,
33,0.433347,0.8428,,
34,0.432987,0.8421,,
35,0.420896,0.8180,,
36,0.391806,0.7598,,
37,0.409390,0.7949,,
38,0.409984,0.7958,,
39,0.410945,0.7976,,
40,0.423049,0.8213,,
41,0.397982,0.7711,,
42,0.382722,0.7404,,
43,0.396509,0.7677,,
44,0.392638,0.7597,,
45,0.389059,0.7523,,
46,0.389438,0.7527,,
47,0.392612,0.7587,,
48,0.373778,0.7204,,
49,0.346716,0.6657,,
50,0.308816,0.5890,,
51,0.297855,0.5660,,
52,0.300992,0.5717,,
53,0.310605,0.5907,,
54,0.293909,0.5577,,
55,0.282634,0.5352,,
56,0.272522,0.5151,,
57,0.288939,0.5479,,
58,0.275831,0.5215,,
59,0.289887,0.5495,,
60,0.288751,0.5472,,
61,0.278532,0.5269,,
62,0.279740,0.5293,,
63,0.276746,0.5234,,
64,0.267814,0.5057,,
65,0.274790,0.5198,,
66,0.283401,0.5371,,
67,0.280907,0.5321,,
68,0.270275,0.5109,,
69,0.279345,0.5291,,
70,0.258687,0.4880,,
71,0.265968,0.5027,,
72,0.266507,0.5039,,
73,0.276379,0.5235,,
74,0.274240,0.5195,,
75,0.263202,0.4979,,
76,0.265860,0.5031,,
77,0.270053,0.5115,,
78,0.274804,0.5211,,
79,0.263710,0.4990,,
80,0.258942,0.4894,,
81,0.255904,0.4827,,
82,0.256358,0.4828,,
83,0.241372,0.4519,,
84,0.216474,0.4009,,
85,0.194991,0.3570,,
86,0.192366,0.3510,,
87,0.185606,0.3373,,
88,0.244759,0.4559,,
89,0.251320,0.4690,,
90,0.227316,0.4214,,
91,0.203787,0.3748,,
92,0.170563,0.3086,,
93,0.185262,0.3382,,
94,0.165667,0.2993,,
95,0.167946,0.3040,,
96,0.161783,0.2919,,
97,0.161940,0.2922,,
98,0.166406,0.3014,,
99,0.163031,0.2948,,
100,0.170499,0.3098,,
1,17.441946,0.5720,5.053142,0.8400
2,2.738575,0.8440,1.139223,0.8800
3,1.281989,0.8800,0.543556,0.8600
4,1.068539,0.8880,0.460872,0.8800
