Epoch,Train Loss,Train Accuracy,Validation Loss,Validation Accuracy
1,24.516193,49.0286,18.820876,37.6377
2,9.525101,19.0383,6.261705,12.5120
3,3.250683,6.4817,1.320699,2.6310
4,1.715650,3.4114,0.781311,1.5492
5,0.769703,1.5134,0.681546,1.3473
6,0.627132,1.2257,0.694657,1.3719
7,0.548042,1.0642,0.712088,1.4053
8,0.496731,0.9606,0.576010,1.1335
9,0.474339,0.9163,0.544082,1.0696
10,0.473600,0.9147,0.513399,1.0083
11,0.459253,0.8864,0.557866,1.0976
12,0.436819,0.8421,0.519255,1.0207
13,0.423039,0.8152,0.471425,0.9252
14,0.440552,0.8504,0.608289,1.1991
15,0.420579,0.8108,0.520278,1.0233
16,0.421741,0.8135,0.558879,1.1007
17,0.408877,0.7879,0.516337,1.0157
18,0.445544,0.8618,0.493607,0.9706
19,0.411097,0.7932,0.447430,0.8786
20,0.446214,0.8642,0.505457,0.9948
21,0.450854,0.8735,0.470245,0.9244
22,0.455907,0.8837,0.596358,1.1768
23,0.449350,0.8713,0.455936,0.8964
24,0.420617,0.8143,0.517937,1.0206
25,0.410573,0.7945,0.465161,0.9151
26,0.418569,0.8105,0.537936,1.0608
27,0.402937,0.7794,0.473483,0.9318
28,0.392255,0.7581,0.504424,0.9939
29,0.409812,0.7937,0.512656,1.0103
30,0.441689,0.8571,0.550759,1.0868
31,0.442950,0.8601,0.478224,0.9417
32,0.438792,0.8521,0.507222,1.0001
33,0.399293,0.7733,0.512761,1.0111
34,0.402507,0.7797,0.518328,1.0220
35,0.401772,0.7776,0.485564,0.9562
36,0.405442,0.7847,0.445154,0.8755
37,0.397378,0.7689,0.556373,1.0981
38,0.419945,0.8143,0.511562,1.0084
39,0.402695,0.7796,0.522513,1.0301
40,0.443565,0.8608,0.474941,0.9348
41,0.406612,0.7871,0.549566,1.0842
42,0.401322,0.7764,0.460928,0.9068
43,0.408343,0.7905,0.561850,1.1091
44,0.422989,0.8202,0.510054,1.0052
45,0.411273,0.7968,0.468280,0.9221
46,0.412807,0.7999,0.543934,1.0730
47,0.412525,0.7994,0.483126,0.9517
48,0.395615,0.7657,0.490718,0.9669
49,0.398900,0.7725,0.504387,0.9942
50,0.393663,0.7619,0.516139,1.0178
51,0.434276,0.8432,0.595649,1.1770
52,0.457819,0.8907,0.471707,0.9291
53,0.428891,0.8328,0.473986,0.9339
54,0.441897,0.8589,0.570984,1.1275
55,0.446880,0.8686,0.473649,0.9331
1,21.074088,0.6350,1.418587,0.8200
2,1.826348,0.7800,1.577899,0.9000
3,0.873766,0.8600,0.596482,0.9000
4,0.568958,0.8650,0.610962,0.8400
5,0.523374,0.8850,0.706801,0.8400
6,0.582114,0.8550,1.227033,0.8200
7,0.668836,0.8850,0.612982,0.9000
8,0.556492,0.9000,0.549696,0.8600
9,0.460291,0.9000,1.024677,0.9000
10,0.518032,0.9250,0.454583,0.8600
11,0.448768,0.9150,0.582980,0.9000
12,0.496685,0.9150,0.856712,0.9200
13,0.488072,0.9300,0.754241,0.9000
14,0.471094,0.9250,0.674178,0.8200
15,0.484456,0.9100,0.781195,0.8600
16,0.486674,0.8800,0.477770,0.9200
17,0.455801,0.9200,0.680262,0.8200
18,0.498889,0.8900,0.852251,0.9000
19,0.523002,0.9000,0.517528,0.8600
20,0.468132,0.8850,0.680602,0.9200
21,0.498183,0.9050,0.614542,0.9200
22,0.466029,0.9050,0.481971,0.8800
23,0.449643,0.9200,1.006282,0.9200
24,0.506940,0.9350,0.533030,0.8800
25,0.467835,0.9100,0.481088,0.9000
26,0.424191,0.9400,0.673110,0.9000
27,0.464629,0.9600,0.600446,0.9000
28,0.426606,0.9300,0.896809,0.8200
29,0.477223,0.8700,0.690384,0.9000
1,21.074088,0.6350,1.418587,0.8200
2,1.826348,0.7800,1.577899,0.9000
3,0.873766,0.8600,0.596482,0.9000
4,0.568958,0.8650,0.610962,0.8400
5,0.523374,0.8850,0.706801,0.8400
6,0.582114,0.8550,1.227033,0.8200
7,0.668836,0.8850,0.612982,0.9000
8,0.556492,0.9000,0.549696,0.8600
9,0.460291,0.9000,1.024677,0.9000
10,0.518032,0.9250,0.454583,0.8600
11,0.448768,0.9150,0.582980,0.9000
12,0.496685,0.9150,0.856712,0.9200
13,0.488072,0.9300,0.754241,0.9000
14,0.471094,0.9250,0.674178,0.8200
15,0.484456,0.9100,0.781195,0.8600
16,0.486674,0.8800,0.477770,0.9200
17,0.455801,0.9200,0.680262,0.8200
18,0.498889,0.8900,0.852251,0.9000
19,0.523002,0.9000,0.517528,0.8600
20,0.468132,0.8850,0.680602,0.9200
21,0.498183,0.9050,0.614542,0.9200
22,0.466029,0.9050,0.481971,0.8800
23,0.449643,0.9200,1.006282,0.9200
24,0.506940,0.9350,0.533030,0.8800
25,0.467835,0.9100,0.481088,0.9000
26,0.424191,0.9400,0.673110,0.9000
27,0.464629,0.9600,0.600446,0.9000
28,0.426606,0.9300,0.896809,0.8200
29,0.477223,0.8700,0.690384,0.9000
1,21.074088,0.6350,1.418587,0.8200
2,1.826348,0.7800,1.577899,0.9000
3,0.873766,0.8600,0.596482,0.9000
4,0.568958,0.8650,0.610962,0.8400
5,0.523374,0.8850,0.706801,0.8400
6,0.582114,0.8550,1.227033,0.8200
7,0.668836,0.8850,0.612982,0.9000
8,0.556492,0.9000,0.549696,0.8600
9,0.460291,0.9000,1.024677,0.9000
10,0.518032,0.9250,0.454583,0.8600
11,0.448768,0.9150,0.582980,0.9000
12,0.496685,0.9150,0.856712,0.9200
13,0.488072,0.9300,0.754241,0.9000
14,0.471094,0.9250,0.674178,0.8200
15,0.484456,0.9100,0.781195,0.8600
16,0.486674,0.8800,0.477770,0.9200
17,0.455801,0.9200,0.680262,0.8200
18,0.498889,0.8900,0.852251,0.9000
19,0.523002,0.9000,0.517528,0.8600
20,0.468132,0.8850,0.680602,0.9200
21,0.498183,0.9050,0.614542,0.9200
22,0.466029,0.9050,0.481971,0.8800
23,0.449643,0.9200,1.006282,0.9200
24,0.506940,0.9350,0.533030,0.8800
25,0.467835,0.9100,0.481088,0.9000
26,0.424191,0.9400,0.673110,0.9000
27,0.464629,0.9600,0.600446,0.9000
28,0.426606,0.9300,0.896809,0.8200
29,0.477223,0.8700,0.690384,0.9000
1,21.074088,0.6350,1.418587,0.8200
2,1.826348,0.7800,1.577899,0.9000
3,0.873766,0.8600,0.596482,0.9000
4,0.568958,0.8650,0.610962,0.8400
5,0.523374,0.8850,0.706801,0.8400
6,0.582114,0.8550,1.227033,0.8200
7,0.668836,0.8850,0.612982,0.9000
8,0.556492,0.9000,0.549696,0.8600
9,0.460291,0.9000,1.024677,0.9000
10,0.518032,0.9250,0.454583,0.8600
11,0.448768,0.9150,0.582980,0.9000
12,0.496685,0.9150,0.856712,0.9200
13,0.488072,0.9300,0.754241,0.9000
14,0.471094,0.9250,0.674178,0.8200
15,0.484456,0.9100,0.781195,0.8600
16,0.486674,0.8800,0.477770,0.9200
17,0.455801,0.9200,0.680262,0.8200
18,0.498889,0.8900,0.852251,0.9000
19,0.523002,0.9000,0.517528,0.8600
20,0.468132,0.8850,0.680602,0.9200
21,0.498183,0.9050,0.614542,0.9200
22,0.466029,0.9050,0.481971,0.8800
23,0.449643,0.9200,1.006282,0.9200
24,0.506940,0.9350,0.533030,0.8800
25,0.467835,0.9100,0.481088,0.9000
26,0.424191,0.9400,0.673110,0.9000
27,0.464629,0.9600,0.600446,0.9000
28,0.426606,0.9300,0.896809,0.8200
29,0.477223,0.8700,0.690384,0.9000
1,21.074088,0.6350,1.418587,0.8200
2,1.826348,0.7800,1.577899,0.9000
3,0.873766,0.8600,0.596482,0.9000
4,0.568958,0.8650,0.610962,0.8400
5,0.523374,0.8850,0.706801,0.8400
6,0.582114,0.8550,1.227033,0.8200
7,0.668836,0.8850,0.612982,0.9000
8,0.556492,0.9000,0.549696,0.8600
9,0.460291,0.9000,1.024677,0.9000
10,0.518032,0.9250,0.454583,0.8600
11,0.448768,0.9150,0.582980,0.9000
12,0.496685,0.9150,0.856712,0.9200
13,0.488072,0.9300,0.754241,0.9000
14,0.471094,0.9250,0.674178,0.8200
15,0.484456,0.9100,0.781195,0.8600
16,0.486674,0.8800,0.477770,0.9200
17,0.455801,0.9200,0.680262,0.8200
18,0.498889,0.8900,0.852251,0.9000
19,0.523002,0.9000,0.517528,0.8600
20,0.468132,0.8850,0.680602,0.9200
21,0.498183,0.9050,0.614542,0.9200
22,0.466029,0.9050,0.481971,0.8800
23,0.449643,0.9200,1.006282,0.9200
24,0.506940,0.9350,0.533030,0.8800
25,0.467835,0.9100,0.481088,0.9000
26,0.424191,0.9400,0.673110,0.9000
27,0.464629,0.9600,0.600446,0.9000
28,0.426606,0.9300,0.896809,0.8200
29,0.477223,0.8700,0.690384,0.9000
1,14.442669,0.7150,4.411112,0.7600
2,3.254205,0.7200,1.742431,0.7800
3,2.059571,0.8250,1.481984,0.9000
4,1.709921,0.8650,1.291782,0.9000
5,1.400172,0.8700,0.956027,0.8200
6,0.966273,0.8700,0.683428,0.8200
7,0.671764,0.8700,0.476299,0.8800
8,0.470807,0.8800,0.441199,0.8200
9,0.395564,0.8800,0.398366,0.8200
10,0.308719,0.8950,0.231272,0.8400
11,0.272334,0.9050,0.246070,0.8800
12,0.241538,0.9200,0.249821,0.9000
13,0.252874,0.8950,0.435493,0.9200
14,0.311209,0.9200,0.287298,0.9400
15,0.241327,0.9150,0.363255,0.9200
16,0.226536,0.9100,0.296080,0.9200
17,0.211505,0.8850,0.262927,0.8800
18,0.200680,0.9000,0.228720,0.9000
19,0.192985,0.9150,0.375517,0.9400
20,0.199991,0.8950,0.247785,0.8800
21,0.192400,0.9050,0.215671,0.8800
22,0.192766,0.9200,0.273529,0.9000
23,0.204177,0.9200,0.329303,0.9000
24,0.204651,0.8650,0.270408,0.9400
25,0.198437,0.9050,0.351930,0.9400
26,0.207763,0.8950,0.278422,0.8600
27,0.219569,0.8750,0.309854,0.8800
28,0.192568,0.9150,0.384421,0.8800
29,0.236737,0.9100,0.341047,0.8800
30,0.209526,0.8900,0.358491,0.9400
31,0.217289,0.9150,0.327467,0.9200
32,0.187548,0.9050,0.238157,0.8800
33,0.193605,0.9250,0.194768,0.9000
34,0.184510,0.9200,0.271767,0.9400
35,0.204267,0.9000,0.487547,0.8600
36,0.221177,0.9250,0.232830,0.9400
37,0.184758,0.9000,0.341589,0.9400
38,0.228327,0.9000,0.386935,0.9400
39,0.205184,0.9100,0.263405,0.8800
40,0.176745,0.9250,0.522017,0.9400
41,0.254232,0.9100,0.231943,0.9000
42,0.198971,0.9250,0.388353,0.8200
43,0.236812,0.8950,0.217562,0.8800
44,0.170778,0.9350,0.344396,0.9200
45,0.228615,0.9050,0.409567,0.8800
46,0.213681,0.9200,0.273747,0.9000
47,0.187045,0.9200,0.240060,0.8800
48,0.180305,0.9200,0.222241,0.9000
49,0.178536,0.9250,0.221799,0.8800
50,0.181564,0.9250,0.230829,0.9200
51,0.241016,0.9150,0.348697,0.9000
52,0.228189,0.9200,0.322209,0.8800
1,14.442669,0.7150,4.411112,0.7600
2,3.254205,0.7200,1.742431,0.7800
3,2.059571,0.8250,1.481984,0.9000
4,1.709921,0.8650,1.291782,0.9000
5,1.400172,0.8700,0.956027,0.8200
6,0.966273,0.8700,0.683428,0.8200
7,0.671764,0.8700,0.476299,0.8800
8,0.470807,0.8800,0.441199,0.8200
9,0.395564,0.8800,0.398366,0.8200
10,0.308719,0.8950,0.231272,0.8400
11,0.272334,0.9050,0.246070,0.8800
12,0.241538,0.9200,0.249821,0.9000
13,0.252874,0.8950,0.435493,0.9200
14,0.311209,0.9200,0.287298,0.9400
15,0.241327,0.9150,0.363255,0.9200
16,0.226536,0.9100,0.296080,0.9200
17,0.211505,0.8850,0.262927,0.8800
18,0.200680,0.9000,0.228720,0.9000
19,0.192985,0.9150,0.375517,0.9400
20,0.199991,0.8950,0.247785,0.8800
21,0.192400,0.9050,0.215671,0.8800
22,0.192766,0.9200,0.273529,0.9000
23,0.204177,0.9200,0.329303,0.9000
24,0.204651,0.8650,0.270408,0.9400
25,0.198437,0.9050,0.351930,0.9400
26,0.207763,0.8950,0.278422,0.8600
27,0.219569,0.8750,0.309854,0.8800
28,0.192568,0.9150,0.384421,0.8800
29,0.236737,0.9100,0.341047,0.8800
30,0.209526,0.8900,0.358491,0.9400
31,0.217289,0.9150,0.327467,0.9200
32,0.187548,0.9050,0.238157,0.8800
33,0.193605,0.9250,0.194768,0.9000
34,0.184510,0.9200,0.271767,0.9400
35,0.204267,0.9000,0.487547,0.8600
36,0.221177,0.9250,0.232830,0.9400
37,0.184758,0.9000,0.341589,0.9400
38,0.228327,0.9000,0.386935,0.9400
39,0.205184,0.9100,0.263405,0.8800
40,0.176745,0.9250,0.522017,0.9400
41,0.254232,0.9100,0.231943,0.9000
42,0.198971,0.9250,0.388353,0.8200
43,0.236812,0.8950,0.217562,0.8800
44,0.170778,0.9350,0.344396,0.9200
45,0.228615,0.9050,0.409567,0.8800
46,0.213681,0.9200,0.273747,0.9000
47,0.187045,0.9200,0.240060,0.8800
48,0.180305,0.9200,0.222241,0.9000
49,0.178536,0.9250,0.221799,0.8800
50,0.181564,0.9250,0.230829,0.9200
51,0.241016,0.9150,0.348697,0.9000
52,0.228189,0.9200,0.322209,0.8800
1,14.411572,0.7150,4.429169,0.7600
2,3.034197,0.7250,1.849532,0.8800
3,1.747952,0.8350,1.084633,0.8800
4,0.898417,0.8700,0.675503,0.8200
5,0.497427,0.8800,0.532304,0.8400
6,0.361139,0.9100,0.569713,0.8800
7,0.331829,0.8750,0.327428,0.9000
8,0.269929,0.9400,0.470816,0.8800
9,0.306093,0.9100,0.730596,0.8200
10,0.352346,0.9150,0.248200,0.9400
11,0.268279,0.9300,0.298351,0.9400
12,0.247558,0.9350,0.244503,0.9000
13,0.313067,0.9350,0.253219,0.9200
14,0.268686,0.9500,0.765432,0.8400
15,0.330648,0.9100,0.663592,0.8800
16,0.287362,0.9100,0.275736,0.9600
17,0.232646,0.9100,0.389018,0.8800
18,0.228845,0.9200,0.233030,0.9800
19,0.218212,0.9400,0.488085,0.9000
20,0.247416,0.9150,0.296767,0.8800
21,0.215044,0.9200,0.222761,0.9400
22,0.224176,0.9150,0.408988,0.9000
23,0.232872,0.9250,0.920230,0.9000
24,0.316913,0.8950,0.288478,0.9800
25,0.220996,0.9100,0.261940,0.9600
26,0.232071,0.9050,0.226316,0.9000
27,0.249573,0.8700,0.298846,0.8800
28,0.217861,0.9000,0.483303,0.9000
29,0.243393,0.9150,0.524876,0.9000
30,0.284474,0.9000,0.343710,0.9000
31,0.233294,0.9050,0.376355,0.9400
32,0.221706,0.9000,0.326026,0.9200
33,0.221716,0.9200,0.207830,0.9000
34,0.207556,0.9150,0.296802,0.8600
35,0.218874,0.8900,0.322400,0.9000
36,0.245134,0.9200,0.271600,0.9000
37,0.186128,0.9300,0.421918,0.9400
38,0.300081,0.9000,0.300963,0.9600
39,0.211906,0.9050,0.281584,0.9000
40,0.199294,0.9100,0.308447,0.9400
41,0.255806,0.9150,0.294518,0.9000
42,0.217561,0.9150,0.255137,0.8600
43,0.198083,0.9000,0.403137,0.9000
44,0.237450,0.9150,0.227960,0.9000
45,0.247886,0.8950,0.327598,0.9000
46,0.235521,0.9100,0.279313,0.9200
47,0.208165,0.9150,0.220750,0.9200
48,0.183696,0.9250,0.312972,0.9000
49,0.205364,0.8900,0.220269,0.9000
50,0.193464,0.9250,0.198859,0.9400
51,0.185453,0.9150,0.306200,0.9000
52,0.190443,0.9100,0.295127,0.9000
53,0.226940,0.9000,0.203145,0.9200
54,0.193394,0.9150,0.444203,0.9000
55,0.246415,0.9200,0.227835,0.9000
56,0.191756,0.9100,0.256276,0.9000
57,0.200789,0.9200,0.465220,0.9000
58,0.206388,0.9100,0.221920,0.9000
59,0.195094,0.9200,0.278218,0.9000
60,0.254389,0.9150,0.356689,0.9400
61,0.255681,0.9150,0.220900,0.9400
62,0.212433,0.9150,0.271681,0.9000
63,0.185752,0.9150,0.673717,0.9000
64,0.262353,0.9150,0.212208,0.9400
65,0.210547,0.9150,0.285664,0.9000
66,0.206285,0.9200,0.442577,0.9000
67,0.223860,0.9200,0.607229,0.8600
68,0.257687,0.9100,0.205766,0.9400
69,0.222496,0.9100,0.205629,0.9000
1,14.411572,0.7150,4.429169,0.7600
2,3.034197,0.7250,1.849532,0.8800
3,1.747952,0.8350,1.084633,0.8800
4,0.898417,0.8700,0.675503,0.8200
5,0.497427,0.8800,0.532304,0.8400
6,0.361139,0.9100,0.569713,0.8800
7,0.331829,0.8750,0.327428,0.9000
8,0.269929,0.9400,0.470816,0.8800
9,0.306093,0.9100,0.730596,0.8200
10,0.352346,0.9150,0.248200,0.9400
11,0.268279,0.9300,0.298351,0.9400
12,0.247558,0.9350,0.244503,0.9000
13,0.313067,0.9350,0.253219,0.9200
14,0.268686,0.9500,0.765432,0.8400
15,0.330648,0.9100,0.663592,0.8800
16,0.287362,0.9100,0.275736,0.9600
17,0.232646,0.9100,0.389018,0.8800
18,0.228845,0.9200,0.233030,0.9800
19,0.218212,0.9400,0.488085,0.9000
20,0.247416,0.9150,0.296767,0.8800
21,0.215044,0.9200,0.222761,0.9400
22,0.224176,0.9150,0.408988,0.9000
23,0.232872,0.9250,0.920230,0.9000
24,0.316913,0.8950,0.288478,0.9800
25,0.220996,0.9100,0.261940,0.9600
26,0.232071,0.9050,0.226316,0.9000
27,0.249573,0.8700,0.298846,0.8800
28,0.217861,0.9000,0.483303,0.9000
29,0.243393,0.9150,0.524876,0.9000
30,0.284474,0.9000,0.343710,0.9000
31,0.233294,0.9050,0.376355,0.9400
32,0.221706,0.9000,0.326026,0.9200
33,0.221716,0.9200,0.207830,0.9000
34,0.207556,0.9150,0.296802,0.8600
35,0.218874,0.8900,0.322400,0.9000
36,0.245134,0.9200,0.271600,0.9000
37,0.186128,0.9300,0.421918,0.9400
38,0.300081,0.9000,0.300963,0.9600
39,0.211906,0.9050,0.281584,0.9000
40,0.199294,0.9100,0.308447,0.9400
41,0.255806,0.9150,0.294518,0.9000
42,0.217561,0.9150,0.255137,0.8600
43,0.198083,0.9000,0.403137,0.9000
44,0.237450,0.9150,0.227960,0.9000
45,0.247886,0.8950,0.327598,0.9000
46,0.235521,0.9100,0.279313,0.9200
47,0.208165,0.9150,0.220750,0.9200
48,0.183696,0.9250,0.312972,0.9000
49,0.205364,0.8900,0.220269,0.9000
50,0.193464,0.9250,0.198859,0.9400
51,0.185453,0.9150,0.306200,0.9000
52,0.190443,0.9100,0.295127,0.9000
53,0.226940,0.9000,0.203145,0.9200
54,0.193394,0.9150,0.444203,0.9000
55,0.246415,0.9200,0.227835,0.9000
56,0.191756,0.9100,0.256276,0.9000
57,0.200789,0.9200,0.465220,0.9000
58,0.206388,0.9100,0.221920,0.9000
59,0.195094,0.9200,0.278218,0.9000
60,0.254389,0.9150,0.356689,0.9400
61,0.255681,0.9150,0.220900,0.9400
62,0.212433,0.9150,0.271681,0.9000
63,0.185752,0.9150,0.673717,0.9000
64,0.262353,0.9150,0.212208,0.9400
65,0.210547,0.9150,0.285664,0.9000
66,0.206285,0.9200,0.442577,0.9000
67,0.223860,0.9200,0.607229,0.8600
68,0.257687,0.9100,0.205766,0.9400
69,0.222496,0.9100,0.205629,0.9000
1,14.411572,0.7150,4.429169,0.7600
2,3.034197,0.7250,1.849532,0.8800
3,1.747952,0.8350,1.084633,0.8800
4,0.898417,0.8700,0.675503,0.8200
5,0.497427,0.8800,0.532304,0.8400
6,0.361139,0.9100,0.569713,0.8800
7,0.331829,0.8750,0.327428,0.9000
8,0.269929,0.9400,0.470816,0.8800
9,0.306093,0.9100,0.730596,0.8200
10,0.352346,0.9150,0.248200,0.9400
11,0.268279,0.9300,0.298351,0.9400
12,0.247558,0.9350,0.244503,0.9000
13,0.313067,0.9350,0.253219,0.9200
14,0.268686,0.9500,0.765432,0.8400
15,0.330648,0.9100,0.663592,0.8800
16,0.287362,0.9100,0.275736,0.9600
17,0.232646,0.9100,0.389018,0.8800
18,0.228845,0.9200,0.233030,0.9800
19,0.218212,0.9400,0.488085,0.9000
20,0.247416,0.9150,0.296767,0.8800
21,0.215044,0.9200,0.222761,0.9400
22,0.224176,0.9150,0.408988,0.9000
23,0.232872,0.9250,0.920230,0.9000
24,0.316913,0.8950,0.288478,0.9800
25,0.220996,0.9100,0.261940,0.9600
26,0.232071,0.9050,0.226316,0.9000
27,0.249573,0.8700,0.298846,0.8800
28,0.217861,0.9000,0.483303,0.9000
29,0.243393,0.9150,0.524876,0.9000
30,0.284474,0.9000,0.343710,0.9000
31,0.233294,0.9050,0.376355,0.9400
32,0.221706,0.9000,0.326026,0.9200
33,0.221716,0.9200,0.207830,0.9000
34,0.207556,0.9150,0.296802,0.8600
35,0.218874,0.8900,0.322400,0.9000
36,0.245134,0.9200,0.271600,0.9000
37,0.186128,0.9300,0.421918,0.9400
38,0.300081,0.9000,0.300963,0.9600
39,0.211906,0.9050,0.281584,0.9000
40,0.199294,0.9100,0.308447,0.9400
41,0.255806,0.9150,0.294518,0.9000
42,0.217561,0.9150,0.255137,0.8600
43,0.198083,0.9000,0.403137,0.9000
44,0.237450,0.9150,0.227960,0.9000
45,0.247886,0.8950,0.327598,0.9000
46,0.235521,0.9100,0.279313,0.9200
47,0.208165,0.9150,0.220750,0.9200
48,0.183696,0.9250,0.312972,0.9000
49,0.205364,0.8900,0.220269,0.9000
50,0.193464,0.9250,0.198859,0.9400
51,0.185453,0.9150,0.306200,0.9000
52,0.190443,0.9100,0.295127,0.9000
53,0.226940,0.9000,0.203145,0.9200
54,0.193394,0.9150,0.444203,0.9000
55,0.246415,0.9200,0.227835,0.9000
56,0.191756,0.9100,0.256276,0.9000
57,0.200789,0.9200,0.465220,0.9000
58,0.206388,0.9100,0.221920,0.9000
59,0.195094,0.9200,0.278218,0.9000
60,0.254389,0.9150,0.356689,0.9400
61,0.255681,0.9150,0.220900,0.9400
62,0.212433,0.9150,0.271681,0.9000
63,0.185752,0.9150,0.673717,0.9000
64,0.262353,0.9150,0.212208,0.9400
65,0.210547,0.9150,0.285664,0.9000
66,0.206285,0.9200,0.442577,0.9000
67,0.223860,0.9200,0.607229,0.8600
68,0.257687,0.9100,0.205766,0.9400
69,0.222496,0.9100,0.205629,0.9000
1,14.411572,0.7150,4.429169,0.7600
2,3.034197,0.7250,1.849532,0.8800
3,1.747952,0.8350,1.084633,0.8800
4,0.898417,0.8700,0.675503,0.8200
5,0.497427,0.8800,0.532304,0.8400
6,0.361139,0.9100,0.569713,0.8800
7,0.331829,0.8750,0.327428,0.9000
8,0.269929,0.9400,0.470816,0.8800
9,0.306093,0.9100,0.730596,0.8200
10,0.352346,0.9150,0.248200,0.9400
11,0.268279,0.9300,0.298351,0.9400
12,0.247558,0.9350,0.244503,0.9000
13,0.313067,0.9350,0.253219,0.9200
14,0.268686,0.9500,0.765432,0.8400
15,0.330648,0.9100,0.663592,0.8800
16,0.287362,0.9100,0.275736,0.9600
17,0.232646,0.9100,0.389018,0.8800
18,0.228845,0.9200,0.233030,0.9800
19,0.218212,0.9400,0.488085,0.9000
20,0.247416,0.9150,0.296767,0.8800
21,0.215044,0.9200,0.222761,0.9400
22,0.224176,0.9150,0.408988,0.9000
23,0.232872,0.9250,0.920230,0.9000
24,0.316913,0.8950,0.288478,0.9800
25,0.220996,0.9100,0.261940,0.9600
26,0.232071,0.9050,0.226316,0.9000
27,0.249573,0.8700,0.298846,0.8800
28,0.217861,0.9000,0.483303,0.9000
29,0.243393,0.9150,0.524876,0.9000
30,0.284474,0.9000,0.343710,0.9000
31,0.233294,0.9050,0.376355,0.9400
32,0.221706,0.9000,0.326026,0.9200
33,0.221716,0.9200,0.207830,0.9000
34,0.207556,0.9150,0.296802,0.8600
35,0.218874,0.8900,0.322400,0.9000
