n_hidden,learning_rate,reg_lambda,l1_lambda,dropout_rate,momentum,activation,optimizer,lr_decay,batch_size,weight_init,init_range,patience,val_loss,val_accuracy
[6],0.049999999999999996,0.012,0.008,0.0,0.7999999999999999,leaky_relu,adam,0.04,32,range,"(-0.1, 0.1)",20,0.246001339452243,0.470997845379526
"[10, 5]",0.0451,0.012,0.006,0.0,0.5,leaky_relu,adam,0.006,32,range,"(-0.1, 0.1)",20,0.35637620955203014,0.7007661518483895
[6],0.025,0.0,0.024,0.0,0.5,relu,adam,0.0,32,xavier,"(-0.1, 0.1)",20,0.18266425776115677,0.3498023212701121
"[8, 4]",0.025,0.009000000000000001,0.044,0.0,0.5,relu,adam,0.0,16,gaussian,"(-0.5, 0.5)",20,0.37742396268568357,0.7353716368134868
[5],0.049,0.004,0.036000000000000004,0.0,0.0,leaky_relu,adam,0.1,16,orthogonal,"(-0.5, 0.5)",30,0.21990351542553885,0.4168931908055029
[6],0.037000000000000005,0.003,0.014,0.1,0.0,elu,sgd,0.1,16,xavier,"(-0.7, 0.7)",20,nan,nan
[5],0.027000000000000003,0.009000000000000001,0.019,0.0,0.9,leaky_relu,adam,0.2,16,range,"(-0.1, 0.1)",30,0.27942302517243034,0.5421329422327531
[6],0.021,0.007,0.039,0.06,0.5,sigmoid,adam,0.0,32,range,"(-0.5, 0.5)",10,0.5815940745185352,1.0706993780578162
[5],0.0091,0.006,0.03,0.0,0.5,relu,adam,0.1,16,glorot,"(-0.1, 0.1)",20,0.31290526123623863,0.6084138196708044
[5],0.0036,0.009000000000000001,0.037,0.0,0.0,relu,adam,0.1,32,orthogonal,"(-0.5, 0.5)",20,0.3669125069259002,0.7118536987230994
[5],0.0081,0.004,0.029,0.0,0.5,elu,adam,0.2,16,range,"(-0.5, 0.5)",10,0.31646461389194075,0.6176332717735158
"[8, 4]",0.0036,0.008,0.013000000000000001,0.0,0.0,elu,adam,0.1,32,orthogonal,"(-0.5, 0.5)",10,0.5103903525231656,1.0058858647802096
[5],0.0036,0.004,0.002,0.08,0.0,elu,adam,0.0,32,orthogonal,"(-0.1, 0.1)",30,0.3123917119951021,0.6222877365391551
[5],0.0091,0.006,0.03,0.0,0.8,relu,adam,0.1,16,glorot,"(-0.1, 0.1)",20,0.3009359919712699,1.2063862397829996
[5],0.0036,0.002,0.037,0.02,0.7,relu,adam,0.2,32,orthogonal,"(-0.5, 0.5)",20,0.41805706806267295,1.4162382393179842
[5],0.0081,0.004,0.029,0.0,0.8,elu,sgd,0.2,16,range,"(-0.5, 0.5)",10,0.2707989675396766,1.113187889225737
"[8, 4]",0.0036,0.008,0.013000000000000001,0.0,0.7,elu,adam,0.1,32,orthogonal,"(-0.5, 0.5)",10,0.5143990054791834,1.5732748495808293
[6],0.0056,0.0,0.03,0.02,0.8,elu,sgd,0.0,32,he,"(-0.5, 0.5)",20,0.29236974998150844,1.1247352302811748
