n_hidden,learning_rate,reg_lambda,l1_lambda,dropout_rate,momentum,activation,optimizer,lr_decay,batch_size,weight_init,init_range,patience,val_loss,val_accuracy,trial_number
"[200, 200]",0.00013894954943731373,0.0,0.0005,0.1,0.7,relu,sgd,0.001,128,xavier,"(-0.05, 0.05)",50,2.7596212311103714,3.497144440951035,1
"[60, 60]",0.00013894954943731373,1e-05,0.0001,0.0,0.9,relu,rprop_prev_grad,0.0001,16,orthogonal,"(-0.05, 0.05)",50,21.22045908316477,9.340949735735824,2
"[50, 50, 50]",0.00019306977288832496,0.001,0.001,0.2,0.8,relu,adam,0.0001,8,xavier,"(-0.05, 0.05)",50,0.5362376445376547,1.5591202025931208,3
"[100, 70]",0.0005179474679231213,0.0005,0.0005,0.0,0.9,elu,rprop_prev_grad,0.0,64,xavier,"(-0.05, 0.05)",150,28.48492511906886,10.366799176723685,4
"[150, 100, 50]",0.0005179474679231213,0.0005,0.0001,0.0,0.7,relu,adamw,0.0,16,xavier,"(-0.05, 0.05)",100,0.13981956933219217,0.7672868257085561,5
"[120, 80]",0.0005179474679231213,1e-05,0.0005,0.2,0.7,leaky_relu,sgd,0.001,16,range,"(-0.05, 0.05)",50,2.366573231613962,3.121896756167858,6
"[120, 80]",0.0007196856730011522,0.0001,1e-05,0.1,0.9,leaky_relu,sgd,0.0,8,glorot,"(-0.05, 0.05)",100,0.3728087373005263,1.2941317902787377,7
"[60, 60]",0.00026826957952797245,0.0005,0.0005,0.1,0.9,elu,quickprop,0.001,64,he,"(-0.05, 0.05)",50,45.88732970778859,13.215755490405645,8
"[80, 60]",0.0003727593720314938,0.001,1e-05,0.3,0.9,elu,adamw,0.0,16,range,"(-0.05, 0.05)",50,0.3849079843935185,1.3574855058443733,9
"[50, 50, 50]",0.0001,0.002,0.0,0.1,0.9,relu,quickprop,0.001,8,orthogonal,"(-0.05, 0.05)",150,17.266673552471797,8.564676905222832,10
