Epoch,Train Loss,Train Accuracy,Validation Loss,Validation Accuracy
1,0.131025,0.5354,0.103868,0.6800
2,0.106955,0.6970,0.088456,0.8000
3,0.095326,0.7273,0.085014,0.8000
4,0.084771,0.7778,0.116722,0.6000
5,0.096357,0.7071,0.108204,0.6400
6,0.097745,0.7071,0.082662,0.7200
7,0.087551,0.7576,0.056740,0.8000
8,0.075576,0.7879,0.041577,0.9600
9,0.069636,0.8283,0.050752,0.9200
10,0.067653,0.7778,0.045257,0.9200
11,0.065361,0.8283,0.037517,0.8400
12,0.063276,0.8384,0.043298,0.8400
13,0.065147,0.8081,0.049475,0.9200
14,0.064479,0.8283,0.034963,0.9600
15,0.064154,0.8283,0.041515,0.9200
16,0.056758,0.8586,0.073983,0.7200
17,0.059366,0.8283,0.080421,0.7200
18,0.050547,0.8687,0.064749,0.7600
19,0.045772,0.8990,0.051394,0.8400
20,0.044849,0.8788,0.049544,0.8800
21,0.037778,0.9091,0.051466,0.8800
22,0.033243,0.9192,0.046172,0.9200
23,0.032973,0.9091,0.048345,0.8800
24,0.024955,0.9495,0.042065,0.8800
25,0.020129,0.9596,0.036775,0.9200
26,0.020569,0.9596,0.038191,0.9200
27,0.017124,0.9596,0.033090,0.9200
28,0.016753,0.9596,0.030744,0.9600
29,0.017274,0.9596,0.024646,0.9200
30,0.016486,0.9596,0.028868,0.9200
31,0.015861,0.9596,0.047922,0.8400
32,0.012814,0.9697,0.046007,0.8800
33,0.012628,0.9697,0.037289,0.8800
34,0.012456,0.9697,0.034979,0.8800
35,0.015935,0.9495,0.046297,0.8800
36,0.012436,0.9697,0.032638,0.9200
37,0.011669,0.9697,0.026491,0.9200
38,0.011389,0.9697,0.028737,0.9200
39,0.011341,0.9697,0.037405,0.8800
40,0.011403,0.9697,0.042024,0.8800
41,0.011410,0.9697,0.039787,0.8800
42,0.011348,0.9697,0.034805,0.9200
43,0.011790,0.9697,0.028959,0.9200
44,0.011769,0.9697,0.026698,0.9200
45,0.011764,0.9697,0.023935,0.9600
46,0.011865,0.9697,0.028317,0.9600
47,0.012542,0.9697,0.041731,0.8800
48,0.013619,0.9697,0.039375,0.8800
49,0.013042,0.9697,0.038720,0.8800
50,0.015015,0.9192,0.047956,0.8000
51,0.015190,0.9192,0.040477,0.8800
52,0.012247,0.9697,0.031032,0.9200
53,0.011210,0.9697,0.030377,0.9600
54,0.011463,0.9697,0.036441,0.9200
55,0.012212,0.9697,0.034451,0.9200
56,0.011820,0.9697,0.030770,0.9600
57,0.011184,0.9697,0.028866,0.9600
58,0.011172,0.9697,0.028151,0.9600
59,0.011239,0.9697,0.028051,0.9600
60,0.011325,0.9697,0.028786,0.9600
61,0.011286,0.9697,0.027204,0.9600
62,0.011345,0.9697,0.024444,0.9600
63,0.012211,0.9697,0.024857,0.9200
64,0.012866,0.9697,0.024503,0.9200
