n_hidden,learning_rate,reg_lambda,l1_lambda,dropout_rate,momentum,activation,optimizer,lr_decay,batch_size,weight_init,init_range,patience,val_loss,val_accuracy,trial_number
[3],0.01,0.008,0.002,0.05,0.2,sigmoid,sgd,0.04,64,gaussian,"(-0.1, 0.1)",20,0.12573159240872073,0.6,1
[4],0.06999999999999999,0.016,0.008,0.0,0.8,sigmoid,adam,0.01,64,range,"(-0.5, 0.5)",20,0.11523670849839218,0.8,2
[4],0.12999999999999998,0.01,0.004,0.05,0.30000000000000004,tanh,sgd,0.0,64,gaussian,"(-0.5, 0.5)",20,0.13455430609188063,0.6,3
[5],0.01,0.014,0.008,0.0,0.6000000000000001,sigmoid,adam,0.04,32,range,"(-0.1, 0.1)",30,0.12507381709220206,0.6,4
[3],0.01,0.006,0.004,0.0,0.30000000000000004,sigmoid,adam,0.02,64,he,"(-0.1, 0.1)",20,0.11392899906421664,0.68,5
[5],0.06999999999999999,0.008,0.0,0.2,0.2,sigmoid,sgd,0.03,64,he,"(-0.7, 0.7)",30,0.1279468217205263,0.44,6
[4],0.10999999999999997,0.0,0.002,0.0,0.5,tanh,adam,0.0,16,range,"(-0.7, 0.7)",20,0.030857467519505338,0.92,7
[4],0.15,0.012,0.006,0.05,0.4,sigmoid,sgd,0.04,32,range,"(-0.5, 0.5)",30,0.11946817372229679,0.68,8
[6],0.10999999999999997,0.006,0.002,0.2,0.7000000000000001,sigmoid,sgd,0.0,16,xavier,"(-0.7, 0.7)",20,0.0830262200975299,0.84,9
[3],0.12999999999999998,0.012,0.008,0.15000000000000002,0.8,tanh,sgd,0.0,32,he,"(-0.1, 0.1)",20,0.08442880118054126,0.84,10
[6],0.049999999999999996,0.014,0.0,0.25,0.4,sigmoid,sgd,0.02,16,xavier,"(-0.5, 0.5)",20,0.12390750434013773,0.6,11
[3],0.18999999999999997,0.01,0.006,0.0,0.1,tanh,adam,0.01,8,xavier,"(-0.7, 0.7)",20,0.12520777329371582,0.8,12
[3],0.15,0.002,0.008,0.05,0.2,tanh,sgd,0.02,64,xavier,"(-0.7, 0.7)",30,0.10492955798036166,0.72,13
[4],0.08999999999999998,0.012,0.004,0.15000000000000002,0.8,tanh,sgd,0.01,16,gaussian,"(-0.5, 0.5)",20,0.09176967340239327,0.8,14
[4],0.18999999999999997,0.006,0.0,0.0,0.0,sigmoid,sgd,0.0,32,gaussian,"(-0.7, 0.7)",20,0.1302102498120815,0.56,15
[5],0.15,0.006,0.008,0.05,0.7000000000000001,sigmoid,adam,0.03,16,gaussian,"(-0.1, 0.1)",30,0.10251109810460318,0.92,16
[6],0.10999999999999997,0.012,0.006,0.15000000000000002,0.0,sigmoid,sgd,0.03,32,gaussian,"(-0.1, 0.1)",20,0.1267004309122427,0.6,17
[4],0.16999999999999998,0.014,0.002,0.15000000000000002,0.2,tanh,adam,0.01,8,glorot,"(-0.7, 0.7)",20,0.07280759094989618,1.0,18
[3],0.16999999999999998,0.0,0.0,0.05,0.2,tanh,adam,0.03,16,glorot,"(-0.1, 0.1)",20,0.041770907442928766,0.88,19
[6],0.01,0.012,0.004,0.15000000000000002,0.4,tanh,adam,0.01,16,he,"(-0.1, 0.1)",20,0.0701086714189183,0.84,20
[3],0.10999999999999997,0.0,0.0,0.2,0.7000000000000001,sigmoid,sgd,0.04,8,xavier,"(-0.1, 0.1)",30,0.08487160626912489,0.84,21
[3],0.06999999999999999,0.012,0.0,0.2,0.30000000000000004,sigmoid,sgd,0.03,32,he,"(-0.1, 0.1)",30,0.12511330787190023,0.68,22
[5],0.06999999999999999,0.008,0.006,0.05,0.4,tanh,adam,0.0,8,glorot,"(-0.7, 0.7)",30,0.05304977110484177,1.0,23
[3],0.03,0.016,0.002,0.2,0.4,sigmoid,adam,0.0,16,he,"(-0.5, 0.5)",20,0.10305180380125231,0.84,24
