n_hidden,learning_rate,reg_lambda,l1_lambda,dropout_rate,momentum,activation,optimizer,lr_decay,batch_size,weight_init,init_range,patience,val_loss,val_accuracy,trial_number
[3],0.01,0.0,0.0,0.25,0.8,sigmoid,sgd,0.0,8,gaussian,"(-0.1, 0.1)",15,0.12756345914820133,0.4,1
[3],0.01,0.0,0.0,0.05,0.75,sigmoid,sgd,0.0,8,gaussian,"(-0.1, 0.1)",15,0.1276145174250634,0.4,2
[3],0.16,0.0,0.0,0.1,0.8,sigmoid,sgd,0.0,4,gaussian,"(-0.5, 0.5)",15,0.03265278892272216,0.92,3
[4],0.16,0.0,0.0,0.0,0.8500000000000001,sigmoid,sgd,0.0,8,gaussian,"(-0.1, 0.1)",15,0.03427993355603045,0.88,4
[3],0.01,0.0,0.0,0.1,0.7,sigmoid,sgd,0.0,8,gaussian,"(-0.1, 0.1)",15,0.12744152181469487,0.4,5
[4],0.16,0.0,0.0,0.05,0.8,sigmoid,sgd,0.0,4,gaussian,"(-0.1, 0.1)",15,0.009501709928625344,1.0,6
[4],0.01,0.0,0.0,0.05,0.7,sigmoid,sgd,0.0,8,gaussian,"(-0.1, 0.1)",15,0.12677064470631946,0.4,7
[4],0.16,0.0,0.0,0.25,0.8500000000000001,sigmoid,sgd,0.0,8,gaussian,"(-0.5, 0.5)",15,0.059567039890945396,0.84,8
[4],0.01,0.0,0.0,0.05,0.9000000000000001,sigmoid,sgd,0.0,8,gaussian,"(-0.5, 0.5)",15,0.10974414425573115,0.68,9
[3],0.16,0.0,0.0,0.15000000000000002,0.9000000000000001,sigmoid,sgd,0.0,8,gaussian,"(-0.1, 0.1)",15,0.055816808874276654,0.88,10
[4],0.16,0.0,0.0,0.05,0.8500000000000001,sigmoid,sgd,0.0,8,gaussian,"(-0.1, 0.1)",15,0.01914049249894823,0.96,11
[4],0.01,0.0,0.0,0.2,0.9000000000000001,sigmoid,sgd,0.0,4,gaussian,"(-0.1, 0.1)",15,0.08485328505869609,0.84,12
[3],0.01,0.0,0.0,0.2,0.7,sigmoid,sgd,0.0,8,gaussian,"(-0.1, 0.1)",15,0.1274475735760069,0.4,13
[4],0.16,0.0,0.0,0.05,0.9000000000000001,sigmoid,sgd,0.0,8,gaussian,"(-0.1, 0.1)",15,0.011572809914347176,0.96,14
[3],0.01,0.0,0.0,0.0,0.8,sigmoid,sgd,0.0,8,gaussian,"(-0.1, 0.1)",15,0.12742780915078428,0.4,15
[4],0.16,0.0,0.0,0.05,0.7,sigmoid,sgd,0.0,4,gaussian,"(-0.1, 0.1)",15,0.022754466270248828,0.96,17
[3],0.16,0.0,0.0,0.25,0.8,sigmoid,sgd,0.0,2,gaussian,"(-0.1, 0.1)",15,0.038249701741718656,0.92,18
[4],0.16,0.0,0.0,0.05,0.7,sigmoid,sgd,0.0,2,gaussian,"(-0.5, 0.5)",15,0.00564352385143974,1.0,19
[4],0.16,0.0,0.0,0.05,0.8500000000000001,sigmoid,sgd,0.0,4,gaussian,"(-0.5, 0.5)",15,0.00794045222980845,0.96,20
[4],0.16,0.0,0.0,0.05,0.75,sigmoid,sgd,0.0,2,gaussian,"(-0.5, 0.5)",15,0.005664883800890719,1.0,21
[3],0.01,0.0,0.0,0.2,0.7,sigmoid,sgd,0.0,2,gaussian,"(-0.1, 0.1)",15,0.10733181080599379,0.68,22
[3],0.16,0.0,0.0,0.25,0.9000000000000001,sigmoid,sgd,0.0,4,gaussian,"(-0.1, 0.1)",15,0.04970054497918916,0.92,23
[4],0.16,0.0,0.0,0.1,0.7,sigmoid,sgd,0.0,8,gaussian,"(-0.1, 0.1)",15,0.06749362602013156,0.8,24
[4],0.01,0.0,0.0,0.05,0.8,sigmoid,sgd,0.0,8,gaussian,"(-0.1, 0.1)",15,0.12490962592968594,0.4,25
[3],0.16,0.0,0.0,0.0,0.7,sigmoid,sgd,0.0,2,gaussian,"(-0.5, 0.5)",15,0.027310133046550337,0.92,26
[4],0.01,0.0,0.0,0.0,0.8500000000000001,sigmoid,sgd,0.0,8,gaussian,"(-0.1, 0.1)",15,0.11738516238237916,0.52,27
[4],0.16,0.0,0.0,0.2,0.7,sigmoid,sgd,0.0,8,gaussian,"(-0.5, 0.5)",15,0.07112514774063258,0.84,28
[3],0.01,0.0,0.0,0.1,0.8,sigmoid,sgd,0.0,4,gaussian,"(-0.1, 0.1)",15,0.11886879216111412,0.56,29
[3],0.01,0.0,0.0,0.05,0.8500000000000001,sigmoid,sgd,0.0,4,gaussian,"(-0.1, 0.1)",15,0.10272771706726543,0.72,30
[4],0.01,0.0,0.0,0.15000000000000002,0.75,sigmoid,sgd,0.0,2,gaussian,"(-0.1, 0.1)",15,0.08824309583640744,0.84,31
[4],0.16,0.0,0.0,0.1,0.7,sigmoid,sgd,0.0,2,gaussian,"(-0.1, 0.1)",15,0.004868462723182196,1.0,32
