Epoch,Train Loss,Train Accuracy,Validation Loss,Validation Accuracy
1,0.111523,0.6311,0.045974,0.9306
2,0.042351,0.9016,0.013271,0.9722
3,0.035916,0.9262,0.025492,0.9120
4,0.040546,0.8934,0.014734,0.9745
5,0.028026,0.9426,0.008511,0.9815
6,0.034448,0.9426,0.018842,0.9259
7,0.027973,0.9754,0.009798,0.9861
8,0.030058,0.9426,0.007928,0.9884
9,0.036484,0.9426,0.008081,0.9838
10,0.032194,0.9590,0.016595,0.9468
11,0.026639,0.9836,0.012894,0.9606
12,0.027906,0.9754,0.017268,0.9444
13,0.026470,0.9918,0.016920,0.9491
14,0.028649,0.9836,0.009717,0.9792
15,0.036272,0.9590,0.026982,0.9259
16,0.045654,0.9180,0.012213,0.9583
17,0.035367,0.9836,0.015504,0.9491
18,0.034172,0.9836,0.020138,0.9468
19,0.037486,0.9672,0.023879,0.9352
20,0.036692,0.9754,0.015332,0.9630
21,0.037435,0.9836,0.016953,0.9537
22,0.034420,0.9836,0.017048,0.9560
1,0.111523,0.6311,0.045974,0.9306
2,0.042351,0.9016,0.013271,0.9722
3,0.035916,0.9262,0.025492,0.9120
4,0.040546,0.8934,0.014734,0.9745
5,0.028026,0.9426,0.008511,0.9815
6,0.034448,0.9426,0.018842,0.9259
7,0.027973,0.9754,0.009798,0.9861
8,0.030058,0.9426,0.007928,0.9884
9,0.036484,0.9426,0.008081,0.9838
10,0.032194,0.9590,0.016595,0.9468
11,0.026639,0.9836,0.012894,0.9606
12,0.027906,0.9754,0.017268,0.9444
13,0.026470,0.9918,0.016920,0.9491
14,0.028649,0.9836,0.009717,0.9792
15,0.036272,0.9590,0.026982,0.9259
16,0.045654,0.9180,0.012213,0.9583
17,0.035367,0.9836,0.015504,0.9491
18,0.034172,0.9836,0.020138,0.9468
19,0.037486,0.9672,0.023879,0.9352
20,0.036692,0.9754,0.015332,0.9630
21,0.037435,0.9836,0.016953,0.9537
22,0.034420,0.9836,0.017048,0.9560
23,0.033853,0.9918,0.014045,0.9606
24,0.036450,0.9836,0.019651,0.9468
25,0.035404,0.9836,0.014994,0.9630
26,0.033909,0.9836,0.016547,0.9560
27,0.031747,0.9918,0.018389,0.9514
1,0.111523,0.6311,0.045974,0.9306
2,0.042351,0.9016,0.013271,0.9722
3,0.035916,0.9262,0.025492,0.9120
4,0.040546,0.8934,0.014734,0.9745
5,0.028026,0.9426,0.008511,0.9815
6,0.034448,0.9426,0.018842,0.9259
7,0.027973,0.9754,0.009798,0.9861
8,0.030058,0.9426,0.007928,0.9884
9,0.036484,0.9426,0.008081,0.9838
10,0.032194,0.9590,0.016595,0.9468
11,0.026639,0.9836,0.012894,0.9606
12,0.027906,0.9754,0.017268,0.9444
13,0.026470,0.9918,0.016920,0.9491
14,0.028649,0.9836,0.009717,0.9792
15,0.036272,0.9590,0.026982,0.9259
16,0.045654,0.9180,0.012213,0.9583
17,0.035367,0.9836,0.015504,0.9491
18,0.034172,0.9836,0.020138,0.9468
19,0.037486,0.9672,0.023879,0.9352
20,0.036692,0.9754,0.015332,0.9630
21,0.037435,0.9836,0.016953,0.9537
