Epoch,Train Loss,Train Accuracy,Validation Loss,Validation Accuracy
1,0.020062,0.9426,0.017785,0.9560
2,0.017989,0.9590,0.021359,0.9468
3,0.017165,0.9508,0.021173,0.9468
4,0.016727,0.9672,0.020080,0.9514
5,0.016707,0.9590,0.019860,0.9514
6,0.016457,0.9590,0.019660,0.9514
7,0.016513,0.9590,0.018857,0.9537
8,0.016241,0.9590,0.019587,0.9514
9,0.016007,0.9590,0.019930,0.9491
10,0.015822,0.9590,0.019439,0.9514
11,0.015779,0.9590,0.019294,0.9514
12,0.015715,0.9508,0.019237,0.9514
13,0.015391,0.9590,0.019504,0.9514
14,0.015337,0.9590,0.019018,0.9514
15,0.015395,0.9508,0.019045,0.9537
16,0.015180,0.9590,0.019567,0.9514
17,0.015012,0.9590,0.019568,0.9514
18,0.014783,0.9590,0.019708,0.9514
19,0.014960,0.9508,0.019262,0.9491
20,0.014686,0.9590,0.019692,0.9491
