Epoch,Train Loss,Train Accuracy,Validation Loss,Validation Accuracy
1,0.119784,0.5984,0.073186,0.8449
2,0.064152,0.8607,0.028300,0.9653
3,0.030632,0.9344,0.020777,0.9583
4,0.027737,0.9344,0.019910,0.9560
5,0.026215,0.9262,0.020046,0.9537
6,0.027652,0.9344,0.019499,0.9514
7,0.020544,0.9508,0.016055,0.9606
8,0.023233,0.9344,0.025380,0.9398
9,0.021774,0.9508,0.019748,0.9537
10,0.027584,0.9262,0.030228,0.9167
11,0.025351,0.9262,0.016202,0.9606
12,0.026676,0.9344,0.021387,0.9375
13,0.026740,0.9180,0.035351,0.8889
14,0.020930,0.9344,0.018081,0.9468
15,0.019415,0.9426,0.019521,0.9514
16,0.014114,0.9590,0.022334,0.9398
17,0.013714,0.9508,0.020412,0.9491
18,0.014163,0.9426,0.022448,0.9398
19,0.011888,0.9590,0.023960,0.9306
20,0.011653,0.9672,0.021852,0.9421
21,0.011126,0.9590,0.021294,0.9444
22,0.012446,0.9426,0.023123,0.9398
23,0.010803,0.9590,0.025036,0.9282
24,0.010306,0.9590,0.022757,0.9444
25,0.010275,0.9508,0.023764,0.9329
26,0.010146,0.9672,0.024260,0.9352
