Epoch,Train Loss,Train Accuracy,Validation Loss,Validation Accuracy
1,0.001339,1.0000,0.001517,1.0000
2,0.001313,1.0000,0.001486,1.0000
3,0.001291,1.0000,0.001457,1.0000
4,0.001269,1.0000,0.001430,1.0000
5,0.001248,1.0000,0.001407,1.0000
6,0.001228,1.0000,0.001387,1.0000
7,0.001210,1.0000,0.001368,1.0000
8,0.001192,1.0000,0.001350,1.0000
9,0.001175,1.0000,0.001332,1.0000
10,0.001157,1.0000,0.001313,1.0000
11,0.001141,1.0000,0.001295,1.0000
12,0.001125,1.0000,0.001277,1.0000
13,0.001109,1.0000,0.001261,1.0000
14,0.001095,1.0000,0.001245,1.0000
15,0.001081,1.0000,0.001229,1.0000
16,0.001068,1.0000,0.001214,1.0000
17,0.001055,1.0000,0.001200,1.0000
18,0.001042,1.0000,0.001187,1.0000
19,0.001030,1.0000,0.001175,1.0000
20,0.001019,1.0000,0.001163,1.0000
21,0.001008,1.0000,0.001152,1.0000
22,0.000997,1.0000,0.001140,1.0000
23,0.000985,1.0000,0.001127,1.0000
24,0.000975,1.0000,0.001115,1.0000
25,0.000964,1.0000,0.001104,1.0000
26,0.000953,1.0000,0.001095,1.0000
27,0.000944,1.0000,0.001085,1.0000
28,0.000934,1.0000,0.001074,1.0000
29,0.000924,1.0000,0.001061,1.0000
30,0.000914,1.0000,0.001049,1.0000
31,0.000904,1.0000,0.001037,1.0000
32,0.000894,1.0000,0.001025,1.0000
33,0.000885,1.0000,0.001014,1.0000
34,0.000876,1.0000,0.001003,1.0000
35,0.000867,1.0000,0.000992,1.0000
36,0.000858,1.0000,0.000981,1.0000
37,0.000849,1.0000,0.000971,1.0000
38,0.000841,1.0000,0.000962,1.0000
39,0.000834,1.0000,0.000954,1.0000
40,0.000827,1.0000,0.000947,1.0000
41,0.000820,1.0000,0.000939,1.0000
42,0.000813,1.0000,0.000932,1.0000
43,0.000806,1.0000,0.000924,1.0000
44,0.000799,1.0000,0.000916,1.0000
45,0.000792,1.0000,0.000908,1.0000
46,0.000785,1.0000,0.000900,1.0000
47,0.000778,1.0000,0.000891,1.0000
48,0.000772,1.0000,0.000882,1.0000
49,0.000766,1.0000,0.000874,1.0000
50,0.000759,1.0000,0.000867,1.0000
1,0.024518,1.0000,0.010257,1.0000
2,0.024506,1.0000,0.010464,1.0000
3,0.024490,1.0000,0.010484,1.0000
4,0.024508,1.0000,0.010406,1.0000
5,0.024486,1.0000,0.010277,1.0000
6,0.024464,1.0000,0.010200,1.0000
7,0.024461,1.0000,0.010214,1.0000
8,0.024455,1.0000,0.010170,1.0000
9,0.024446,1.0000,0.010375,1.0000
10,0.024493,1.0000,0.010502,1.0000
11,0.024528,1.0000,0.010023,1.0000
12,0.024448,1.0000,0.009882,1.0000
13,0.024411,1.0000,0.009994,1.0000
14,0.024429,1.0000,0.009635,1.0000
15,0.024451,1.0000,0.009502,1.0000
16,0.024428,1.0000,0.009668,1.0000
17,0.024397,1.0000,0.009719,1.0000
18,0.024395,1.0000,0.009623,1.0000
19,0.024372,1.0000,0.009469,1.0000
20,0.024375,1.0000,0.009410,1.0000
21,0.024377,1.0000,0.009382,1.0000
22,0.024364,1.0000,0.009354,1.0000
23,0.024371,1.0000,0.009392,1.0000
24,0.024366,1.0000,0.009428,1.0000
25,0.024380,1.0000,0.009338,1.0000
26,0.024381,1.0000,0.009400,1.0000
27,0.024404,1.0000,0.009581,1.0000
28,0.024448,1.0000,0.009308,1.0000
29,0.024363,1.0000,0.009288,1.0000
30,0.024347,1.0000,0.009529,1.0000
31,0.024357,1.0000,0.009591,1.0000
32,0.024355,1.0000,0.009406,1.0000
33,0.024342,1.0000,0.009330,1.0000
34,0.024351,1.0000,0.009484,1.0000
35,0.024373,1.0000,0.009398,1.0000
36,0.024364,1.0000,0.009128,1.0000
37,0.024382,1.0000,0.009210,1.0000
38,0.024340,1.0000,0.009396,1.0000
39,0.024390,1.0000,0.009127,1.0000
40,0.024330,1.0000,0.008966,1.0000
41,0.024368,1.0000,0.008927,1.0000
42,0.024359,1.0000,0.008952,1.0000
43,0.024354,1.0000,0.008996,1.0000
44,0.024337,1.0000,0.009113,1.0000
45,0.024330,1.0000,0.009313,1.0000
46,0.024371,1.0000,0.009068,1.0000
47,0.024322,1.0000,0.008886,1.0000
48,0.024416,1.0000,0.008834,1.0000
49,0.024404,1.0000,0.008901,1.0000
50,0.024338,1.0000,0.008918,1.0000
1,0.137550,0.9508,0.117793,0.9583
2,0.136698,0.9508,0.110745,0.9606
3,0.137019,0.9508,0.105789,0.9606
4,0.137875,0.9508,0.104867,0.9606
5,0.137328,0.9508,0.109275,0.9606
6,0.136150,0.9508,0.110461,0.9606
7,0.134698,0.9508,0.113543,0.9537
8,0.133842,0.9590,0.118257,0.9514
9,0.133905,0.9590,0.121206,0.9514
10,0.133486,0.9590,0.120236,0.9514
11,0.132565,0.9590,0.115094,0.9514
12,0.131419,0.9590,0.109161,0.9560
13,0.131068,0.9508,0.106497,0.9560
14,0.130618,0.9508,0.104623,0.9606
15,0.130554,0.9508,0.105868,0.9560
16,0.129529,0.9508,0.108673,0.9537
17,0.129620,0.9508,0.109394,0.9537
18,0.128958,0.9508,0.110499,0.9514
19,0.128364,0.9590,0.111366,0.9514
20,0.128179,0.9590,0.111425,0.9514
21,0.127825,0.9590,0.111439,0.9514
22,0.127707,0.9590,0.109748,0.9514
23,0.127401,0.9590,0.109923,0.9514
24,0.126740,0.9590,0.108784,0.9514
25,0.126128,0.9590,0.108104,0.9514
26,0.125600,0.9590,0.106823,0.9514
27,0.125223,0.9590,0.104984,0.9514
28,0.124963,0.9590,0.105090,0.9514
29,0.124222,0.9590,0.105383,0.9514
30,0.124004,0.9590,0.105120,0.9514
31,0.123652,0.9590,0.103461,0.9514
32,0.123532,0.9590,0.103218,0.9514
33,0.123162,0.9590,0.104373,0.9514
34,0.122937,0.9590,0.105130,0.9514
35,0.122919,0.9590,0.104104,0.9514
36,0.122457,0.9590,0.103447,0.9537
37,0.122359,0.9590,0.103551,0.9537
38,0.122140,0.9590,0.104966,0.9491
39,0.122166,0.9590,0.104885,0.9491
40,0.121794,0.9590,0.104903,0.9491
41,0.121651,0.9590,0.104721,0.9491
42,0.121499,0.9590,0.103130,0.9514
43,0.121297,0.9590,0.102921,0.9491
44,0.120789,0.9590,0.102667,0.9491
45,0.120391,0.9590,0.101736,0.9514
46,0.120073,0.9590,0.100492,0.9514
47,0.119897,0.9590,0.100968,0.9514
48,0.119480,0.9590,0.101156,0.9514
49,0.119112,0.9590,0.101916,0.9514
50,0.118950,0.9590,0.101974,0.9514
1,0.127382,0.9508,0.113826,0.9514
2,0.125710,0.9508,0.116057,0.9514
3,0.125627,0.9508,0.114829,0.9514
4,0.123871,0.9508,0.104888,0.9560
5,0.123798,0.9508,0.113385,0.9514
6,0.122081,0.9508,0.107461,0.9537
7,0.121571,0.9508,0.108714,0.9514
8,0.120291,0.9508,0.099768,0.9560
9,0.120219,0.9508,0.092191,0.9583
10,0.121476,0.9508,0.098510,0.9560
11,0.118738,0.9508,0.120148,0.9468
12,0.119371,0.9590,0.122562,0.9444
13,0.119417,0.9590,0.119830,0.9444
14,0.117821,0.9590,0.116835,0.9468
15,0.115012,0.9590,0.104893,0.9514
16,0.113550,0.9590,0.107849,0.9514
17,0.112205,0.9590,0.107867,0.9514
18,0.111718,0.9590,0.116037,0.9398
19,0.111918,0.9672,0.106582,0.9468
20,0.109693,0.9672,0.098481,0.9560
21,0.109415,0.9672,0.098114,0.9560
22,0.108633,0.9672,0.103791,0.9514
23,0.108107,0.9754,0.099037,0.9537
24,0.108579,0.9836,0.110435,0.9444
25,0.108537,0.9754,0.111353,0.9444
26,0.107841,0.9754,0.105790,0.9468
27,0.106012,0.9754,0.093777,0.9560
28,0.105474,0.9754,0.098861,0.9560
29,0.103408,0.9836,0.098547,0.9537
30,0.103294,0.9836,0.104971,0.9491
31,0.102320,0.9836,0.112849,0.9468
32,0.102544,0.9836,0.108414,0.9468
33,0.100262,0.9836,0.102225,0.9583
34,0.099035,0.9754,0.096982,0.9583
35,0.098342,0.9754,0.094754,0.9583
