Epoch,Train Loss,Train Accuracy,Validation Loss,Validation Accuracy
1,0.688118,0.5876,0.564786,0.9200
2,0.428445,0.9175,0.425974,0.8400
3,0.306244,0.8866,0.569967,0.7600
4,0.391020,0.8247,0.369328,0.8800
5,0.337926,0.8763,0.455656,0.8000
6,0.320879,0.8763,0.323780,0.8800
7,0.252940,0.9278,0.269354,0.8800
8,0.230330,0.9381,0.254958,0.9200
9,0.237269,0.9381,0.311393,0.9200
10,0.264389,0.9381,0.269719,0.9200
11,0.204313,0.9381,0.263408,0.9200
12,0.177473,0.9381,0.258206,0.9200
13,0.163331,0.9381,0.259078,0.9200
14,0.150120,0.9485,0.273644,0.9200
15,0.129014,0.9485,0.420354,0.8800
16,0.266533,0.8763,0.589866,0.8000
17,0.277747,0.8763,0.517585,0.7600
18,0.247013,0.8660,0.418443,0.8800
19,0.179097,0.9072,0.382540,0.8800
20,0.169242,0.9278,0.360432,0.8800
21,0.169556,0.9381,0.343587,0.9200
22,0.137067,0.9381,0.336138,0.9200
23,0.152757,0.9485,0.402210,0.8400
24,0.396748,0.8351,0.614750,0.8000
25,0.388266,0.8454,0.696547,0.7200
26,0.330627,0.8454,0.444975,0.8800
27,0.230337,0.9072,0.426777,0.8400
1,0.688118,0.5876,0.564786,0.9200
2,0.428445,0.9175,0.425974,0.8400
3,0.306244,0.8866,0.569967,0.7600
4,0.391020,0.8247,0.369328,0.8800
5,0.337926,0.8763,0.455656,0.8000
6,0.320879,0.8763,0.323780,0.8800
7,0.252940,0.9278,0.269354,0.8800
8,0.230330,0.9381,0.254958,0.9200
9,0.237269,0.9381,0.311393,0.9200
10,0.264389,0.9381,0.269719,0.9200
11,0.204313,0.9381,0.263408,0.9200
12,0.177473,0.9381,0.258206,0.9200
13,0.163331,0.9381,0.259078,0.9200
14,0.150120,0.9485,0.273644,0.9200
15,0.129014,0.9485,0.420354,0.8800
16,0.266533,0.8763,0.589866,0.8000
17,0.277747,0.8763,0.517585,0.7600
18,0.247013,0.8660,0.418443,0.8800
19,0.179097,0.9072,0.382540,0.8800
20,0.169242,0.9278,0.360432,0.8800
21,0.169556,0.9381,0.343587,0.9200
22,0.137067,0.9381,0.336138,0.9200
23,0.152757,0.9485,0.402210,0.8400
24,0.396748,0.8351,0.614750,0.8000
25,0.388266,0.8454,0.696547,0.7200
26,0.330627,0.8454,0.444975,0.8800
27,0.230337,0.9072,0.426777,0.8400
1,0.656470,0.6667,0.789446,0.4412
2,0.628447,0.7037,0.747656,0.5294
3,0.601596,0.7185,0.691357,0.5294
4,0.570720,0.7407,0.704539,0.6176
5,0.502773,0.7259,0.551694,0.5882
6,0.441264,0.7481,0.417388,0.6471
7,0.380415,0.7778,0.388924,0.8235
8,0.322587,0.8963,0.540747,0.6471
9,0.302906,0.8889,0.317154,0.8235
10,0.238079,0.9259,0.219514,0.9412
11,0.172628,0.9704,0.217990,0.9412
12,0.138961,0.9704,0.188906,0.9412
13,0.110917,0.9852,0.205464,0.9118
14,0.090729,0.9852,0.189879,0.9412
15,0.081023,0.9852,0.181353,0.9412
16,0.077464,0.9852,0.182603,0.9412
17,0.074017,0.9852,0.133536,0.9706
18,0.067112,0.9852,0.124704,0.9706
19,0.065306,0.9852,0.135962,0.9706
20,0.062339,0.9852,0.137466,0.9706
21,0.059398,0.9852,0.134609,0.9706
22,0.056096,0.9852,0.148749,0.9706
23,0.060454,0.9852,0.156776,0.9706
24,0.058246,0.9852,0.134125,0.9706
25,0.053960,0.9852,0.136690,0.9706
26,0.053039,0.9852,0.143444,0.9706
27,0.051703,0.9852,0.143691,0.9706
28,0.052814,0.9852,0.143737,0.9706
29,0.049910,0.9852,0.139065,0.9706
30,0.049847,0.9852,0.134306,0.9706
31,0.059452,0.9852,0.130291,0.9706
32,0.053406,0.9852,0.173166,0.9706
33,0.063598,0.9630,0.151484,0.9706
34,0.051683,0.9852,0.152894,0.9706
35,0.048567,0.9852,0.140611,0.9706
36,0.048978,0.9852,0.131639,0.9706
37,0.049370,0.9852,0.241169,0.9412
1,0.124162,0.6148,0.132807,0.4412
2,0.111048,0.6667,0.183081,0.4412
3,0.115546,0.6593,0.134457,0.5294
4,0.112894,0.6519,0.166952,0.4412
5,0.113319,0.6667,0.145406,0.4412
6,0.111896,0.6741,0.161541,0.5000
7,0.107921,0.6963,0.177047,0.4706
8,0.101637,0.6889,0.137908,0.4412
9,0.101348,0.7037,0.171806,0.4118
10,0.091515,0.7111,0.150655,0.4706
11,0.084913,0.7704,0.137588,0.4412
12,0.078368,0.7556,0.120411,0.5882
13,0.078182,0.8000,0.101362,0.6471
14,0.065222,0.8148,0.059568,0.8824
15,0.055019,0.8667,0.057484,0.9118
16,0.045865,0.8963,0.044139,0.9412
17,0.038111,0.9259,0.028497,0.9706
18,0.035083,0.9259,0.022659,0.9706
19,0.033676,0.9259,0.020381,0.9706
20,0.033271,0.9259,0.020357,0.9706
21,0.033689,0.9259,0.018053,0.9706
22,0.033209,0.9259,0.017491,0.9706
23,0.032938,0.9259,0.017188,0.9706
24,0.032897,0.9259,0.017393,0.9706
25,0.032990,0.9259,0.016846,0.9706
26,0.032366,0.9259,0.018392,0.9706
27,0.032588,0.9259,0.016562,0.9706
28,0.032337,0.9259,0.015743,0.9706
29,0.031738,0.9259,0.017714,0.9706
30,0.032866,0.9259,0.017159,0.9706
31,0.033063,0.9259,0.015712,0.9706
32,0.032041,0.9259,0.015256,0.9706
33,0.032246,0.9259,0.015073,0.9706
34,0.032245,0.9259,0.014983,0.9706
35,0.032472,0.9259,0.014479,0.9706
36,0.032509,0.9259,0.016518,0.9706
37,0.031801,0.9259,0.016082,0.9706
38,0.031638,0.9259,0.015174,0.9706
39,0.031930,0.9259,0.014487,0.9706
40,0.032476,0.9185,0.012982,0.9706
41,0.030657,0.9259,0.011027,0.9706
42,0.031917,0.9185,0.011469,0.9706
43,0.024242,0.9111,0.009993,0.9706
44,0.022304,0.9259,0.016213,0.9706
45,0.016631,0.9333,0.015664,0.9706
46,0.013077,0.9481,0.016534,0.9706
47,0.014007,0.9556,0.016698,0.9412
48,0.012311,0.9630,0.014022,0.9706
49,0.010476,0.9630,0.006161,0.9706
50,0.002509,1.0000,0.002659,1.0000
51,0.001408,1.0000,0.000890,1.0000
52,0.000759,1.0000,0.000542,1.0000
53,0.000426,1.0000,0.000390,1.0000
54,0.000298,1.0000,0.000286,1.0000
55,0.000228,1.0000,0.000208,1.0000
56,0.000181,1.0000,0.000158,1.0000
57,0.000144,1.0000,0.000132,1.0000
58,0.000120,1.0000,0.000117,1.0000
59,0.000104,1.0000,0.000103,1.0000
60,0.000092,1.0000,0.000092,1.0000
61,0.000083,1.0000,0.000083,1.0000
62,0.000075,1.0000,0.000076,1.0000
63,0.000068,1.0000,0.000067,1.0000
64,0.000062,1.0000,0.000060,1.0000
65,0.000055,1.0000,0.000053,1.0000
66,0.000049,1.0000,0.000047,1.0000
67,0.000045,1.0000,0.000044,1.0000
68,0.000041,1.0000,0.000041,1.0000
69,0.000038,1.0000,0.000038,1.0000
70,0.000035,1.0000,0.000036,1.0000
71,0.000032,1.0000,0.000032,1.0000
72,0.000029,1.0000,0.000030,1.0000
73,0.000027,1.0000,0.000027,1.0000
74,0.000025,1.0000,0.000025,1.0000
75,0.000023,1.0000,0.000024,1.0000
76,0.000022,1.0000,0.000022,1.0000
77,0.000021,1.0000,0.000020,1.0000
78,0.000019,1.0000,0.000019,1.0000
79,0.000018,1.0000,0.000018,1.0000
80,0.000017,1.0000,0.000017,1.0000
81,0.000016,1.0000,0.000016,1.0000
82,0.000015,1.0000,0.000015,1.0000
83,0.000015,1.0000,0.000015,1.0000
84,0.000014,1.0000,0.000014,1.0000
85,0.000013,1.0000,0.000013,1.0000
86,0.000013,1.0000,0.000013,1.0000
87,0.000012,1.0000,0.000012,1.0000
88,0.000012,1.0000,0.000012,1.0000
89,0.000011,1.0000,0.000011,1.0000
90,0.000011,1.0000,0.000011,1.0000
91,0.000010,1.0000,0.000011,1.0000
92,0.000010,1.0000,0.000010,1.0000
93,0.000010,1.0000,0.000010,1.0000
94,0.000009,1.0000,0.000009,1.0000
95,0.000009,1.0000,0.000009,1.0000
96,0.000008,1.0000,0.000008,1.0000
97,0.000008,1.0000,0.000008,1.0000
98,0.000008,1.0000,0.000008,1.0000
99,0.000007,1.0000,0.000008,1.0000
100,0.000007,1.0000,0.000007,1.0000
101,0.000007,1.0000,0.000007,1.0000
102,0.000006,1.0000,0.000007,1.0000
103,0.000006,1.0000,0.000007,1.0000
104,0.000006,1.0000,0.000006,1.0000
