n_hidden,learning_rate,reg_lambda,l1_lambda,dropout_rate,momentum,activation,optimizer,lr_decay,batch_size,weight_init,init_range,patience,val_loss,val_accuracy
[3],0.15,0.0,0.004,0.0,0.7999999999999999,tanh,sgd,0.02,99,xavier,"(-0.5, 0.5)",10,0.7835260453697529,0.36
[4],0.15,0.0,0.004,0.0,0.7999999999999999,tanh,sgd,0.02,99,xavier,"(-0.5, 0.5)",10,0.7005987086622273,0.6
[5],0.15,0.0,0.004,0.0,0.7999999999999999,tanh,sgd,0.02,99,xavier,"(-0.5, 0.5)",10,0.6601776672026594,0.68
[3],0.01,0.0,0.0,0.0,0.8,tanh,sgd,0.0,32,xavier,"(-0.5, 0.5)",20,0.6473249297028171,0.64
[3],0.01,0.0,0.0,0.0,0.8,tanh,sgd,0.0,32,he,"(-0.5, 0.5)",20,0.5977818846814774,0.68
[3],0.01,0.0,0.0,0.0,0.8,tanh,sgd,0.01,32,xavier,"(-0.5, 0.5)",20,0.5565546592455649,0.76
[3],0.01,0.0,0.0,0.0,0.8,tanh,sgd,0.01,32,he,"(-0.5, 0.5)",20,0.5429721187774476,0.84
[3],0.01,0.0,0.0,0.0,0.8,tanh,adam,0.0,32,xavier,"(-0.5, 0.5)",20,0.3799688432168915,0.88
[3],0.01,0.0,0.0,0.0,0.8,tanh,adam,0.0,32,he,"(-0.5, 0.5)",20,0.4216424906240342,0.84
[3],0.01,0.0,0.0,0.0,0.8,tanh,adam,0.01,32,xavier,"(-0.5, 0.5)",20,0.4732874369218031,0.84
[3],0.01,0.0,0.0,0.0,0.8,tanh,adam,0.01,32,he,"(-0.5, 0.5)",20,0.45427874451973616,0.8
[3],0.01,0.0,0.0,0.0,0.8,relu,sgd,0.0,32,xavier,"(-0.5, 0.5)",20,0.6753044495058714,0.48
[3],0.01,0.0,0.0,0.0,0.8,relu,sgd,0.0,32,he,"(-0.5, 0.5)",20,0.5781109777331177,0.72
[3],0.01,0.0,0.0,0.0,0.8,relu,sgd,0.01,32,xavier,"(-0.5, 0.5)",20,0.6849893216155043,0.64
[3],0.01,0.0,0.0,0.0,0.8,relu,sgd,0.01,32,he,"(-0.5, 0.5)",20,0.5548037384120055,0.76
[3],0.01,0.0,0.0,0.0,0.8,relu,adam,0.0,32,xavier,"(-0.5, 0.5)",20,0.5472776687989218,0.8
[3],0.01,0.0,0.0,0.0,0.8,relu,adam,0.0,32,he,"(-0.5, 0.5)",20,0.47315550499717496,0.84
[3],0.01,0.0,0.0,0.0,0.8,relu,adam,0.01,32,xavier,"(-0.5, 0.5)",20,0.27933319876762097,0.92
[3],0.01,0.0,0.0,0.0,0.8,relu,adam,0.01,32,he,"(-0.5, 0.5)",20,0.3189491805944661,0.84
[3],0.01,0.0,0.0,0.0,0.9,tanh,sgd,0.0,32,xavier,"(-0.5, 0.5)",20,0.5274504352889579,0.88
[3],0.01,0.0,0.0,0.0,0.9,tanh,sgd,0.0,32,he,"(-0.5, 0.5)",20,0.5053059379020121,0.88
[3],0.01,0.0,0.0,0.0,0.9,tanh,sgd,0.01,32,xavier,"(-0.5, 0.5)",20,0.6489027261878223,0.56
[3],0.01,0.0,0.0,0.0,0.9,tanh,sgd,0.01,32,he,"(-0.5, 0.5)",20,0.5547269407564513,0.76
[3],0.01,0.0,0.0,0.0,0.9,tanh,adam,0.0,32,xavier,"(-0.5, 0.5)",20,0.4655396728314723,0.84
[3],0.01,0.0,0.0,0.0,0.9,tanh,adam,0.0,32,he,"(-0.5, 0.5)",20,0.3373656260046862,0.88
[3],0.01,0.0,0.0,0.0,0.9,tanh,adam,0.01,32,xavier,"(-0.5, 0.5)",20,0.46290057301061266,0.8
[3],0.01,0.0,0.0,0.0,0.9,tanh,adam,0.01,32,he,"(-0.5, 0.5)",20,0.44717010683214764,0.8
[3],0.01,0.0,0.0,0.0,0.9,relu,sgd,0.0,32,xavier,"(-0.5, 0.5)",20,0.5010944944632513,0.8
[3],0.01,0.0,0.0,0.0,0.9,relu,sgd,0.0,32,he,"(-0.5, 0.5)",20,0.5441086559342976,0.84
