n_hidden,learning_rate,reg_lambda,l1_lambda,dropout_rate,momentum,activation,optimizer,lr_decay,batch_size,weight_init,init_range,patience,val_loss,val_accuracy,trial_number
[4],0.01,0.018000000000000002,0.002,0.05,0.7999999999999999,sigmoid,adam,0.03,64,glorot,"(-0.1, 0.1)",10,0.7772745513254345,0.16,1
[4],0.06999999999999999,0.006,0.006,0.25,0.8999999999999999,sigmoid,sgd,0.02,16,he,"(-0.5, 0.5)",20,0.8096185538949906,0.16,2
[4],0.16999999999999998,0.012,0.008,0.25,0.5,leaky_relu,adam,0.04,32,he,"(-0.5, 0.5)",10,0.7731117188152968,0.4,3
[3],0.12999999999999998,0.006,0.008,0.0,0.6,leaky_relu,sgd,0.04,64,glorot,"(-0.1, 0.1)",20,0.7068167141856142,0.28,4
[3],0.12999999999999998,0.018000000000000002,0.004,0.05,0.7,relu,adam,0.02,64,he,"(-0.1, 0.1)",30,0.8414355430638938,0.36,5
[5],0.16999999999999998,0.006,0.004,0.15000000000000002,0.6,tanh,adam,0.03,16,he,"(-0.5, 0.5)",10,0.7624821298199611,0.36,6
[5],0.16999999999999998,0.018000000000000002,0.008,0.2,0.7999999999999999,leaky_relu,adam,0.03,8,xavier,"(-0.1, 0.1)",30,3.347003871415415,0.36,7
[3],0.03,0.018000000000000002,0.0,0.1,0.5,tanh,adam,0.03,32,he,"(-0.1, 0.1)",30,2.030864895595489,0.48,8
[3],0.06999999999999999,0.004,0.006,0.25,0.8999999999999999,sigmoid,sgd,0.0,16,he,"(-0.5, 0.5)",10,0.7851415676585164,0.16,9
[5],0.08999999999999998,0.004,0.008,0.0,0.6,tanh,adam,0.01,8,range,"(-0.5, 0.5)",20,1.6678609441621943,0.48,10
[5],0.06999999999999999,0.018000000000000002,0.008,0.25,0.6,leaky_relu,sgd,0.02,16,xavier,"(-0.5, 0.5)",30,1.4822348931983906,0.48,11
[6],0.06999999999999999,0.002,0.006,0.05,0.7,sigmoid,adam,0.03,64,he,"(-0.1, 0.1)",10,0.9086703970209641,0.16,12
[3],0.12999999999999998,0.006,0.004,0.2,0.7,leaky_relu,adam,0.0,32,range,"(-0.1, 0.1)",10,0.946063256581098,0.16,13
[5],0.06999999999999999,0.008,0.0,0.2,0.5,leaky_relu,adam,0.04,64,xavier,"(-0.1, 0.1)",30,7.392496357926913,0.48,14
[4],0.15,0.006,0.004,0.15000000000000002,0.8999999999999999,leaky_relu,sgd,0.03,8,glorot,"(-0.5, 0.5)",30,8.391427861597192,0.48,15
[5],0.08999999999999998,0.002,0.0,0.05,0.5,tanh,adam,0.0,32,glorot,"(-0.7, 0.7)",30,5.390830188767756,0.48,16
[5],0.06999999999999999,0.018000000000000002,0.0,0.1,0.6,leaky_relu,sgd,0.0,16,glorot,"(-0.5, 0.5)",30,2.0326333718893017,0.48,17
[6],0.15,0.008,0.006,0.0,0.7999999999999999,leaky_relu,sgd,0.02,32,xavier,"(-0.5, 0.5)",20,0.6083211920245034,0.68,18
[6],0.18999999999999997,0.002,0.006,0.15000000000000002,0.6,leaky_relu,sgd,0.0,32,he,"(-0.1, 0.1)",30,4.876427455455912,0.48,19
[6],0.03,0.0,0.008,0.25,0.7999999999999999,relu,adam,0.0,8,range,"(-0.7, 0.7)",10,1.1629639109804377,0.32,20
[6],0.08999999999999998,0.006,0.008,0.15000000000000002,0.7999999999999999,tanh,adam,0.04,32,glorot,"(-0.7, 0.7)",10,0.9921586974166017,0.36,21
[5],0.12999999999999998,0.002,0.002,0.1,0.7,leaky_relu,sgd,0.02,16,glorot,"(-0.5, 0.5)",30,3.9912470183356854,0.48,22
[6],0.15,0.012,0.002,0.15000000000000002,0.8999999999999999,sigmoid,adam,0.01,8,he,"(-0.1, 0.1)",30,3.2433673484485324,0.4,23
[3],0.18999999999999997,0.018000000000000002,0.004,0.25,0.5,tanh,sgd,0.04,16,glorot,"(-0.1, 0.1)",30,2.1517498143712386,0.48,24
[5],0.01,0.006,0.006,0.2,0.7999999999999999,tanh,adam,0.03,16,he,"(-0.7, 0.7)",10,0.7627454467671507,0.36,25
[4],0.08999999999999998,0.002,0.008,0.0,0.7999999999999999,leaky_relu,sgd,0.03,8,glorot,"(-0.1, 0.1)",20,0.8051890856424112,0.16,26
[4],0.15,0.014,0.0,0.25,0.7999999999999999,sigmoid,adam,0.04,64,xavier,"(-0.1, 0.1)",20,0.7045414291452687,0.36,27
