Epoch,Train Loss,Train Accuracy,Validation Loss,Validation Accuracy
1,0.661199,0.5887,0.601227,0.7199
2,0.499308,0.7742,0.620148,0.7269
3,0.491587,0.7903,0.619763,0.7454
4,0.523937,0.7419,0.534315,0.7384
5,0.425648,0.8387,0.566986,0.7477
6,0.402308,0.8065,0.564766,0.7292
7,0.375256,0.8387,0.582239,0.7477
8,0.375521,0.8548,0.549713,0.7407
9,0.368560,0.8468,0.528054,0.7384
10,0.342197,0.8629,0.540746,0.7454
11,0.331756,0.8710,0.551258,0.7315
12,0.304703,0.8790,0.530935,0.7431
13,0.309071,0.8871,0.572545,0.7037
14,0.345670,0.8145,0.539082,0.7245
15,0.307856,0.8548,0.544424,0.7269
16,0.270473,0.8871,0.575699,0.7037
17,0.248317,0.9032,0.573419,0.7153
18,0.232022,0.9113,0.582347,0.7153
19,0.231082,0.9194,0.583645,0.7245
20,0.218388,0.9274,0.596212,0.7037
21,0.219362,0.9274,0.625096,0.7176
22,0.208355,0.9194,0.639536,0.7245
23,0.210430,0.9194,0.642969,0.7130
24,0.191274,0.9355,0.651722,0.7176
25,0.197258,0.9194,0.655231,0.7245
26,0.206765,0.9194,0.686017,0.7199
27,0.189166,0.9355,0.678467,0.7222
28,0.188491,0.9274,0.695097,0.7153
